player_id,receiver_player_name,mry,n,season,team,position
00-0036326,C.Claypool,12.704918032786889,331,2024,BUF,WR
00-0034753,M.Andrews,12.615384615384617,612,2024,BAL,TE
00-0033921,C.Godwin,12.589698046181166,820,2024,TB,WR
00-0034418,C.Wilson,12.563636363636364,172,2024,NO,WR
00-0037238,D.London,12.560283687943262,230,2024,ATL,WR
00-0031381,D.Adams,12.54739336492891,1297,2024,LV,WR
00-0036271,Q.Watkins,12.538461538461538,162,2024,PIT,WR
00-0035510,J.Smith,12.52941176470588,67,2024,ARI,WR
00-0034775,C.Kirk,12.521410579345089,617,2024,JAX,WR
00-0033908,C.Kupp,12.508914100486225,868,2024,LA,WR
00-0036550,R.Bateman,12.45360824742268,158,2024,BAL,WR
00-0034827,Dj.Moore,12.440860215053764,164,2024,CHI,WR
00-0033217,M.Alie-Cox,12.433962264150944,164,2024,IND,TE
00-0037741,J.Dotson,12.392857142857144,146,2024,WAS,WR
00-0032398,C.Moore,12.391304347826084,217,2024,ARI,WR
00-0035703,M.Boykin,12.363636363636363,77,2024,NYG,WR
00-0030506,T.Kelce,12.342763873775848,1265,2024,KC,TE
00-0031588,S.Diggs,12.337788578371812,1206,2024,HOU,WR
00-0031549,N.Agholor,12.333333333333332,612,2024,BAL,WR
00-0039146,J.Reed,12.176470588235297,102,2024,GB,WR
00-0036309,D.Mooney,12.173708920187794,363,2024,ATL,WR
00-0037252,G.Dulcich,12.11111111111111,59,2024,DEN,TE
00-0034777,D.Chark Jr.,12.101123595505618,163,2024,LAC,WR
00-0030035,A.Thielen,12.084243369734786,926,2024,CAR,WR
00-0036259,J.Jennings,12.081632653061225,156,2024,SF,WR
00-0037740,G.Wilson,12.050561797752811,315,2024,NYJ,WR
00-0030431,R.Woods,12.012704174228665,862,2024,HOU,WR
00-0037816,R.Doubs,12.00900900900901,175,2024,GB,WR
00-0033251,Z.Pascal,11.988700564971753,309,2024,ARI,WR
00-0036955,T.Marshall,11.984375,111,2024,CAR,WR
00-0035662,M.Brown,11.981873111782477,556,2024,KC,WR
00-0036988,J.Palmer,11.958620689655172,224,2024,LAC,WR
00-0037838,I.Likely,11.914285714285716,106,2024,BAL,TE
00-0034487,T.Sherfield,11.860759493670887,148,2024,MIN,WR
00-0032775,D.Robinson,11.852941176470589,375,2024,LA,WR
00-0031299,J.Matthews,11.83739837398374,197,2024,CAR,TE
00-0039064,Z.Flowers,11.790697674418604,122,2024,BAL,WR
00-0031610,D.Waller,11.780281690140844,509,2024,NYG,TE
00-0034073,R.Dwelley,11.772727272727268,60,2024,ATL,TE
00-0033090,H.Henry,11.766666666666666,486,2024,NE,TE
00-0036387,J.Reagor,11.7375,151,2024,NE,WR
00-0036345,K.Osborn,11.65625,250,2024,NE,WR
00-0036980,E.Moore,11.631205673758865,249,2024,CLE,WR
00-0030279,K.Allen,11.624821683309555,1024,2024,CHI,WR
00-0033009,T.Boyd,11.608614232209739,784,2024,TEN,WR
00-0034981,F.Moreau,11.607142857142856,160,2024,NO,TE
00-0036556,B.Jordan,11.557692307692308,79,2024,HOU,TE
00-0034960,J.Meyers,11.554487179487179,464,2024,LV,WR
00-0034351,D.Goedert,11.508771929824563,473,2024,PHI,TE
00-0036963,A.St. Brown,11.459940652818988,466,2024,DET,WR
00-0033857,J.Smith-Schuster,11.45770065075923,668,2024,NE,WR
00-0031428,A.Robinson,11.451977401129946,584,2024,NYG,WR
00-0038621,D.Douglas,11.448979591836736,79,2024,NE,WR
00-0033885,D.Njoku,11.448160535117058,460,2024,CLE,TE
00-0039067,R.Rice,11.428571428571429,135,2024,KC,WR
00-0037809,C.Okonkwo,11.372093023255815,124,2024,TEN,TE
00-0035216,Di.Johnson,11.352941176470589,54,2024,CAR,WR
00-0031941,J.Crowder,11.349462365591402,568,2024,WAS,WR
00-0038544,Q.Johnston,11.342105263157894,67,2024,LAC,WR
00-0038997,J.Downs,11.338235294117649,98,2024,IND,WR
00-0034364,J.Akins,11.279761904761905,244,2024,CLE,TE
00-0039052,T.Palmer,11.261904761904763,73,2024,TB,WR
00-0035689,D.Knox,11.261306532663319,306,2024,BUF,TE
00-0036040,J.Johnson,11.1875,156,2024,NO,TE
00-0035624,N.Harry,11.136363636363633,119,2024,MIN,WR
00-0035644,N.Fant,11.130434782608699,359,2024,SEA,TE
00-0034159,W.Dissly,11.109375,158,2024,LAC,TE
00-0035216,D.Johnson,11.058355437665782,624,2024,CAR,WR
00-0036252,M.Pittman,11.00293255131965,501,2024,IND,WR
00-0034829,M.Gesicki,10.97709923664122,424,2024,CIN,TE
00-0033858,J.Smith,10.913043478260871,340,2024,MIA,TE
00-0036165,I.Hodgins,10.895522388059701,93,2024,NYG,WR
00-0036876,K.Granson,10.777777777777779,105,2024,IND,TE
00-0036427,T.Johnson,10.754385964912283,89,2024,LA,WR
00-0033439,P.Brown,10.71875,88,2024,SEA,TE
00-0033891,Z.Jones,10.674267100977199,531,2024,ARI,WR
00-0033282,C.Samuel,10.67192429022082,486,2024,BUF,WR
00-0038090,S.Moore,10.645833333333332,80,2024,KC,WR
00-0031585,M.Pruitt,10.569230769230769,85,2024,PIT,TE
00-0036244,C.Parkinson,10.533333333333335,84,2024,LA,TE
00-0036268,L.Shenault Jr.,10.53191489361702,65,2024,SEA,WR
00-0038041,J.Ferguson,10.514851485148515,137,2024,DAL,TE
00-0033757,R.Tonyan,10.455128205128204,201,2024,MIN,TE
00-0039144,L.Musgrave,10.45,53,2024,GB,TE
00-0035229,T.Hockenson,10.444444444444446,516,2024,MIN,TE
00-0034383,D.Schultz,10.364864864864865,429,2024,HOU,TE
00-0036754,B.Wright,10.295454545454545,56,2024,DET,TE
00-0035329,D.Parham,10.295081967213115,86,2024,LAC,TE
00-0031428,Al.Robinson,10.272727272727273,52,2024,NYG,WR
00-0036422,A.Trautman,10.228915662650603,120,2024,DEN,TE
00-0033895,G.Everett,10.225255972696248,445,2024,CHI,TE
00-0034613,T.Hudson,10.203703703703704,78,2024,CIN,TE
00-0033110,T.Higbee,10.193548387096776,551,2024,LA,TE
00-0033881,E.Engram,10.154013015184386,692,2024,JAX,TE
00-0036423,A.Okwuegbunam,10.11111111111111,74,2024,PHI,TE
00-0030061,Z.Ertz,10.068062827225129,854,2024,WAS,TE
00-0032392,A.Hooper,10.0443864229765,535,2024,NE,TE
00-0036894,P.Freiermuth,9.987804878048783,239,2024,PIT,TE
00-0036290,C.Kmet,9.97196261682243,302,2024,CHI,TE
00-0038543,J.Smith-Njigba,9.968253968253968,93,2024,SEA,WR
00-0039065,S.LaPorta,9.953271028037383,149,2024,DET,TE
00-0038129,C.Otton,9.952830188679247,159,2024,TB,TE
00-0037744,T.McBride,9.90909090909091,145,2024,ARI,TE
00-0034830,H.Hurst,9.88679245283019,306,2024,LAC,TE
00-0036637,N.Gray,9.868421052631579,104,2024,KC,TE
00-0034270,T.Conklin,9.859154929577464,306,2024,NYJ,TE
00-0029892,K.Juszczyk,9.834905660377359,276,2024,SF,RB
00-0032134,C.Uzomah,9.820388349514564,289,2024,PHI,TE
00-0039062,J.Mingo,9.720930232558139,85,2024,CAR,WR
00-0034419,B.Berrios,9.708955223880599,199,2024,MIA,WR
00-0036862,B.Skowronek,9.704918032786885,100,2024,HOU,WR
00-0038104,T.Thornton,9.657142857142857,68,2024,NE,WR
00-0035500,G.Dortch,9.645569620253166,108,2024,ARI,WR
00-0038933,D.Kincaid,9.592592592592592,102,2024,BUF,TE
00-0032394,N.Vannett,9.58695652173913,133,2024,TEN,TE
00-0033292,T.Taylor,9.586206896551724,140,2024,SF,WR
00-0036628,J.Bates,9.584905660377359,75,2024,WAS,TE
00-0036331,D.Duvernay,9.553191489361701,131,2024,JAX,WR
00-0036268,L.Shenault,9.513513513513512,156,2024,SEA,WR
00-0037746,B.Robinson,9.51111111111111,55,2024,WAS,RB
00-0034798,D.Smythe,9.503937007874017,163,2024,MIA,TE
00-0037257,Dav.Bell,9.456521739130434,66,2024,CLE,WR
00-0035249,J.Oliver,9.379999999999999,76,2024,MIN,TE
00-0038115,D.Bellinger,9.379310344827585,69,2024,NYG,TE
00-0035639,P.Campbell,9.290598290598291,172,2024,PHI,WR
00-0036332,J.Deguara,9.27659574468085,59,2024,JAX,TE
00-0033466,I.McKenzie,9.224242424242423,235,2024,NYG,WR
00-0036232,H.Bryant,9.204301075268818,136,2024,LV,TE
00-0032764,D.Henry,9.202380952380954,216,2024,BAL,RB
00-0036913,K.Toney,9.10112359550562,125,2024,KC,WR
00-0034928,S.Sims,9.098765432098766,123,2024,HOU,WR
00-0034365,I.Thomas,9.094827586206897,179,2024,CAR,TE
00-0038117,W.Robinson,9.060240963855422,109,2024,NYG,WR
00-0035594,T.Homer,9.01818181818182,66,2024,CHI,RB
00-0035628,D.Johnson,9,51,2024,JAX,RB
00-0034970,I.Smith,8.982300884955754,158,2024,KC,TE
00-0037304,Co.Heyward,8.972222222222221,52,2024,PIT,TE
00-0034646,B.Powell,8.921052631578949,111,2024,MIN,WR
00-0036265,A.Dillon,8.919540229885058,111,2024,GB,RB
00-0037248,J.Cook,8.917808219178081,95,2024,BUF,RB
00-0033246,J.Mundt,8.872340425531915,58,2024,MIN,TE
00-0037005,T.Tremble,8.838709677419356,100,2024,CAR,TE
00-0030578,C.Patterson,8.828828828828827,302,2024,PIT,RB
00-0036936,R.Moore,8.807142857142859,189,2024,ATL,WR
00-0033699,A.Ekeler,8.683741648106903,570,2024,WAS,RB
00-0034407,R.McCloud,8.659574468085104,139,2024,ATL,WR
00-0033280,C.McCaffrey,8.481684981684982,678,2024,SF,RB
00-0036973,T.Etienne,8.45360824742268,122,2024,JAX,RB
00-0034791,N.Chubb,8.4031007751938,171,2024,CLE,RB
00-0038542,B.Robinson,8.396551724137932,86,2024,ATL,RB
00-0033906,A.Kamara,8.35130111524164,684,2024,NO,RB
00-0035125,A.Ingold,8.267857142857142,74,2024,MIA,RB
00-0032918,C.Ham,8.246753246753247,101,2024,MIN,RB
00-0036360,C.Edwards-Helaire,8.244897959183673,137,2024,KC,RB
00-0034115,J.Wilson,8.175675675675675,117,2024,MIA,RB
00-0033576,E.Saubert,8.11111111111111,55,2024,SF,TE
00-0035685,D.Montgomery,7.92090395480226,226,2024,DET,RB
00-0035537,T.Johnson,7.914893617021276,140,2024,BUF,RB
00-0034414,B.Scott,7.881578947368421,95,2024,LA,RB
00-0035222,Z.Gentry,7.813953488372093,53,2024,LV,TE
00-0033526,S.Perine,7.809815950920245,195,2024,DEN,RB
00-0038120,Bre.Hall,7.776315789473683,95,2024,NYJ,RB
00-0031687,R.Mostert,7.739583333333334,127,2024,MIA,RB
00-0035631,D.Sample,7.716049382716048,105,2024,CIN,TE
00-0033293,A.Jones,7.6959459459459465,399,2024,MIN,RB
00-0036223,J.Taylor,7.688,160,2024,IND,RB
00-0033553,J.Conner,7.620833333333331,296,2024,ARI,RB
00-0033556,T.Cohen,7.570754716981134,280,2024,NYJ,RB
00-0038134,K.Walker,7.491228070175438,73,2024,SEA,RB
00-0033897,J.Mixon,7.4304207119741115,379,2024,HOU,RB
00-0035700,J.Jacobs,7.422885572139303,259,2024,GB,RB
00-0036020,S.Ahmed,7.4186046511627906,63,2024,MIA,RB
00-0032104,A.Abdullah,7.41726618705036,184,2024,LV,RB
00-0039032,T.Spears,7.403846153846154,70,2024,TEN,RB
00-0036328,A.Gibson,7.3965517241379315,217,2024,NE,RB
00-0034844,S.Barkley,7.379661016949152,407,2024,PHI,RB
00-0033955,J.McNichols,7.375,55,2024,WAS,RB
00-0034681,C.Edmonds,7.360248447204969,210,2024,TB,RB
00-0036924,Mi.Carter,7.359550561797753,124,2024,ARI,RB
00-0034367,N.Hines,7.353909465020575,315,2024,CLE,RB
00-0037256,R.White,7.34959349593496,142,2024,TB,RB
00-0033045,E.Elliott,7.3024523160763,490,2024,DAL,RB
00-0035261,T.Pollard,7.2789473684210515,246,2024,TEN,RB
00-0033854,D.Ogunbowale,7.271604938271605,121,2024,HOU,RB
00-0036919,K.Gainwell,7.19,132,2024,PHI,RB
00-0036275,D.Swift,7.175879396984925,258,2024,CHI,RB
00-0034972,A.Mattison,7.1568627450980395,131,2024,LV,RB
00-0036555,C.Hubbard,7.102564102564102,98,2024,CAR,RB
00-0035243,M.Sanders,7.082278481012661,226,2024,CAR,RB
00-0033948,J.Williams,7.005780346820806,212,2024,NO,RB
00-0037267,J.Ford,6.958333333333334,67,2024,CLE,RB
00-0036251,Z.Moss,6.949367088607595,106,2024,CIN,RB
00-0035311,M.Gaskin,6.940594059405941,128,2024,MIN,RB
00-0037840,K.Williams,6.880952380952382,61,2024,LA,RB
00-0035250,D.Singletary,6.751196172248804,273,2024,NYG,RB
00-0033376,P.Ricard,6.73469387755102,67,2024,BAL,RB
00-0034975,J.Hill,6.692307692307692,88,2024,BAL,RB
00-0035831,J.Robinson,6.6847826086956506,123,2024,NO,RB
00-0036906,K.Herbert,6.674418604651163,59,2024,CHI,RB
00-0037197,I.Pacheco,6.653333333333332,82,2024,KC,RB
00-0037228,J.Warren,6.593406593406595,109,2024,PIT,RB
00-0036875,R.Stevenson,6.520000000000001,163,2024,NE,RB
00-0039139,J.Gibbs,6.507936507936508,86,2024,DET,RB
00-0036425,D.Dallas,6.491803278688525,71,2024,ARI,RB
00-0035806,J.Hasty,6.326923076923077,70,2024,NE,RB
00-0034838,R.Freeman,6.186046511627907,109,2024,DAL,RB
00-0037258,D.Pierce,6.186046511627907,56,2024,HOU,RB
00-0036893,N.Harris,5.972972972972973,190,2024,PIT,RB
00-0036997,J.Williams,5.849056603773585,135,2024,DEN,RB
