,season,team,position,player_id
180,2024,NE,LB,00-0032415
181,2024,CLE,DL,00-0032416
182,2024,DET,DL,00-0032424
183,2024,NYJ,OL,00-0032432
184,2024,SF,QB,00-0032434
185,2024,WAS,QB,00-0032436
186,2024,MIN,LB,00-0032437
187,2024,PIT,LB,00-0032442
188,2024,CIN,OL,00-0032445
189,2024,DET,DL,00-0032463
190,2024,DET,WR,00-0032464
191,2024,SEA,OL,00-0032466
192,2024,BUF,LS,00-0032497
193,2024,CIN,DB,00-0032521
194,2024,CLE,OL,00-0032528
195,2024,DEN,K,00-0032569
196,2024,BAL,DL,00-0032574
197,2024,NE,DB,00-0032580
198,2024,JAX,DL,00-0032667
199,2024,LAC,DL,00-0032671
200,2024,SF,OL,00-0032701
201,2024,HOU,K,00-0032726
202,2024,IND,LS,00-0032753
203,2024,CIN,DL,00-0032759
204,2024,KC,DL,00-0032762
205,2024,BUF,DL,00-0032763
206,2024,BAL,RB,00-0032764
207,2024,LV,OL,00-0032768
208,2024,KC,DB,00-0032774
209,2024,LA,WR,00-0032775
210,2024,DET,QB,00-0032792
211,2024,NYG,DB,00-0032803
212,2024,CAR,DL,00-0032889
213,2024,PHI,DB,00-0032890
214,2024,MIN,RB,00-0032918
215,2024,ATL,DB,00-0032933
216,2024,CIN,DB,00-0032939
217,2024,DEN,P,00-0032943
218,2024,KC,QB,00-0032950
219,2024,PIT,OL,00-0032954
220,2024,BAL,OL,00-0032965
221,2024,CLE,WR,00-0032977
222,2024,TEN,WR,00-0033009
223,2024,HOU,DB,00-0033038
224,2024,MIA,WR,00-0033040
225,2024,DAL,RB,00-0033045
226,2024,MIN,DL,00-0033046
227,2024,ATL,DL,00-0033051
228,2024,MIA,DB,00-0033055
229,2024,CLE,OL,00-0033057
230,2024,NO,LS,00-0033063
231,2024,JAX,DL,00-0033064
232,2024,PHI,OL,00-0033065
233,2024,CHI,DL,00-0033066
234,2024,SF,DL,00-0033072
235,2024,DAL,QB,00-0033077
236,2024,NO,OL,00-0033082
237,2024,MIA,DB,00-0033084
238,2024,NE,TE,00-0033090
239,2024,MIN,DL,00-0033093
240,2024,SEA,DB,00-0033103
241,2024,DET,QB,00-0033106
242,2024,SF,DL,00-0033109
243,2024,LA,TE,00-0033110
244,2024,NE,QB,00-0033119
245,2024,GB,DL,00-0033120
246,2024,SF,DL,00-0033131
247,2024,CHI,DB,00-0033132
248,2024,LAC,DL,00-0033156
249,2024,TB,LS,00-0033196
250,2024,SF,LS,00-0033199
251,2024,IND,TE,00-0033217
252,2024,TEN,OL,00-0033221
253,2024,MIN,TE,00-0033246
254,2024,ARI,WR,00-0033251
255,2024,NYJ,LS,00-0033260
256,2024,IND,P,00-0033269
257,2024,SF,RB,00-0033280
258,2024,BAL,DB,00-0033281
259,2024,BUF,WR,00-0033282
260,2024,CAR,OL,00-0033284
261,2024,SF,TE,00-0033288
262,2024,NYG,OL,00-0033290
263,2024,SF,WR,00-0033292
264,2024,MIN,RB,00-0033293
265,2024,NYJ,DB,00-0033294
266,2024,DEN,DL,00-0033297
267,2024,CHI,DB,00-0033302
268,2024,KC,K,00-0033303
269,2024,NE,WR,00-0033307
270,2024,MIN,QB,00-0033319
271,2024,CHI,OL,00-0033326
272,2024,GB,LB,00-0033336
273,2024,BAL,DL,00-0033347
274,2024,NO,QB,00-0033357
275,2024,DEN,WR,00-0033375
276,2024,BAL,RB,00-0033376
277,2024,LV,DL,00-0033381
278,2024,IND,DB,00-0033393
279,2024,SEA,TE,00-0033439
280,2024,BUF,LB,00-0033445
281,2024,PHI,WR,00-0033460
282,2024,NE,LB,00-0033461
283,2024,NYG,WR,00-0033466
284,2024,BAL,DB,00-0033503
285,2024,PIT,DB,00-0033512
286,2024,WAS,DL,00-0033523
287,2024,ATL,DB,00-0033524
288,2024,DEN,RB,00-0033526
289,2024,NYJ,WR,00-0033536
290,2024,CLE,QB,00-0033537
291,2024,DEN,OL,00-0033538
292,2024,CLE,DL,00-0033546
293,2024,TEN,DB,00-0033548
294,2024,MIA,LB,00-0033549
295,2024,BUF,DB,00-0033551
296,2024,ARI,RB,00-0033553
297,2024,BUF,WR,00-0033555
298,2024,NYJ,RB,00-0033556
299,2024,DET,LB,00-0033557
300,2024,HOU,DB,00-0033566
301,2024,MIA,LB,00-0033570
302,2024,BUF,LB,00-0033571
303,2024,SF,TE,00-0033576
304,2024,CAR,DB,00-0033579
305,2024,JAX,DL,00-0033582
306,2024,CAR,WR,00-0033589
307,2024,HOU,WR,00-0033591
308,2024,BUF,DL,00-0033598
309,2024,DAL,QB,00-0033662
310,2024,ARI,OL,00-0033676
311,2024,WAS,DB,00-0033697
312,2024,WAS,RB,00-0033699
313,2024,ATL,K,00-0033702
